,Unnamed: 0,url,date,content,renderedContent,id,user,outlinks,tcooutlinks,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,media,retweetedTweet,quotedTweet,mentionedUsers,coordinates,place,username,labels
0,6484,https://twitter.com/AFPespanol/status/1369224907519913984,2021-03-09 09:53:51+00:00,"#ULTIMAHORA La vacuna rusa Sputnik V será producida en Italia, una primicia en Europa (cámara de comercio) #AFP https://t.co/XCfHLW7qqZ","#ULTIMAHORA La vacuna rusa Sputnik V será producida en Italia, una primicia en Europa (cámara de comercio) #AFP https://t.co/XCfHLW7qqZ",1369224907519913984,"{'username': 'AFPespanol', 'displayname': 'Agence France-Presse', 'id': 851108442, 'description': 'Las noticias y las historias del mundo con el aporte de los periodistas de la AFP en 150 países. También en Facebook: u.afp.com/AFPespanol', 'rawDescription': 'Las noticias y las historias del mundo con el aporte de los periodistas de la AFP en 150 países. También en Facebook: https://t.co/USg46DHztr', 'descriptionUrls': [{'text': 'u.afp.com/AFPespanol', 'url': 'http://u.afp.com/AFPespanol', 'tcourl': 'https://t.co/USg46DHztr', 'indices': (118, 141)}], 'verified': True, 'created': datetime.datetime(2012, 9, 28, 14, 0, 14, tzinfo=datetime.timezone.utc), 'followersCount': 512577, 'friendsCount': 1029, 'statusesCount': 193781, 'favouritesCount': 355, 'listedCount': 4821, 'mediaCount': 121105, 'location': 'Montevideo, Uruguay', 'protected': False, 'linkUrl': 'http://www.afp.com/es', 'linkTcourl': 'https://t.co/xUUUHGq0CB', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1272859011474481152/J3eS0fH9_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/851108442/1606670390'}",[],[],20,788,1270,63,1369224907519913984,es,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",https://about.twitter.com/products/tweetdeck,TweetDeck,"[{'previewUrl': 'https://pbs.twimg.com/media/EwB2y3JXcAIR1UC?format=png&name=small', 'fullUrl': 'https://pbs.twimg.com/media/EwB2y3JXcAIR1UC?format=png&name=large', 'type': 'photo'}]",,,,,,AFPespanol,2
1,23067,https://twitter.com/mariacartolina/status/1290680442845372416,2020-08-04 16:06:11+00:00,"Van a ser vacunados con una vacuna rusa, durante un gobierno peronista, por un médico cubano. Nuestra venganza es haberlos mantenido con vida para vivir eso.","Van a ser vacunados con una vacuna rusa, durante un gobierno peronista, por un médico cubano. Nuestra venganza es haberlos mantenido con vida para vivir eso.",1290680442845372416,"{'username': 'mariacartolina', 'displayname': 'pepis', 'id': 348117551, 'description': '', 'rawDescription': '', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2011, 8, 3, 22, 22, 37, tzinfo=datetime.timezone.utc), 'followersCount': 9899, 'friendsCount': 633, 'statusesCount': 18222, 'favouritesCount': 36177, 'listedCount': 20, 'mediaCount': 215, 'location': 'Buenos Aires', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1177238970499051522/h6ae7xQI_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/348117551/1550120818'}",[],[],24,194,591,11,1290680442845372416,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,,mariacartolina,0
2,3733,https://twitter.com/GARCIPAVON/status/1378045560876371973,2021-04-02 18:03:59+00:00,"Mientras tanto los ""siervos de la nación"" trabajando a marchas forzada para la compra de votos, utilizando el pretexto de la vacuna en Metepec, Edo. de México @TEPJF_informa 
FiscalíaElectoral_Mex
@FiscaliaElecMx
@INEEmx https://t.co/zRVvG04fNo","Mientras tanto los ""siervos de la nación"" trabajando a marchas forzada para la compra de votos, utilizando el pretexto de la vacuna en Metepec, Edo. de México @TEPJF_informa 
FiscalíaElectoral_Mex
@FiscaliaElecMx
@INEEmx https://t.co/zRVvG04fNo",1378045560876371973,"{'username': 'GARCIPAVON', 'displayname': 'DRA. MERCEDES PAVON ""SUPERMUELITA FIFÍ""', 'id': 399148893, 'description': '#LigaDeGuerreros #4toPoderCiudadano 1000% ANTICHAIRA ProVida. Católica. Amo a mi país y por lo mismo soy crítica del gobierno 🚫DM FNacimiento 1-Abril 🇲🇽🇪🇸', 'rawDescription': '#LigaDeGuerreros #4toPoderCiudadano 1000% ANTICHAIRA ProVida. Católica. Amo a mi país y por lo mismo soy crítica del gobierno 🚫DM FNacimiento 1-Abril 🇲🇽🇪🇸', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2011, 10, 27, 2, 7, 49, tzinfo=datetime.timezone.utc), 'followersCount': 21067, 'friendsCount': 10264, 'statusesCount': 92208, 'favouritesCount': 207448, 'listedCount': 30, 'mediaCount': 7510, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1391893836394287106/UF_qm654_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/399148893/1585545906'}",[],[],16,193,250,4,1378029287115214859,es,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,"[{'previewUrl': 'https://pbs.twimg.com/media/Ex_L2qMWgAA67lF?format=png&name=small', 'fullUrl': 'https://pbs.twimg.com/media/Ex_L2qMWgAA67lF?format=png&name=large', 'type': 'photo'}]",,,"[{'username': 'TEPJF_informa', 'displayname': 'TEPJF', 'id': 1269968041, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}, {'username': 'FiscaliaElecMx', 'displayname': 'FiscalíaElectoral_Mex', 'id': 849404760675540992, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}, {'username': 'INEEmx', 'displayname': 'INEE', 'id': 65132242, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}]",,,GARCIPAVON,3
3,14201,https://twitter.com/tenoriopedro/status/1348971830565068800,2021-01-12 12:35:21+00:00,"Imagino que quienes se oponen a una vacuna distribuida por privados nunca van a una clínica, ni pagan consulta médica particular o tienen un seguro privado. Porque el principio es el mismo: Estado debe brindar el servicio a todos, pero si alguien quiere y puede pagarlo, lo hace.","Imagino que quienes se oponen a una vacuna distribuida por privados nunca van a una clínica, ni pagan consulta médica particular o tienen un seguro privado. Porque el principio es el mismo: Estado debe brindar el servicio a todos, pero si alguien quiere y puede pagarlo, lo hace.",1348971830565068800,"{'username': 'tenoriopedro', 'displayname': 'Pedro Tenorio', 'id': 242542265, 'description': 'Periodista, comunicador. Maestro en Dirección de la Comunicación de organizaciones (Dircom) por la UPC (2018).', 'rawDescription': 'Periodista, comunicador. Maestro en Dirección de la Comunicación de organizaciones (Dircom) por la UPC (2018).', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2011, 1, 25, 1, 7, tzinfo=datetime.timezone.utc), 'followersCount': 84842, 'friendsCount': 846, 'statusesCount': 44653, 'favouritesCount': 25022, 'listedCount': 251, 'mediaCount': 769, 'location': 'Lima, Perú', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/928811770050949120/lwXzw0pN_normal.jpg', 'profileBannerUrl': None}",[],[],200,246,1631,97,1348971830565068800,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,tenoriopedro,3
4,22162,https://twitter.com/pascual_serrano/status/1293895973010317319,2020-08-13 13:03:34+00:00,Tenemos más periodistas dedicados a desmontar la vacuna de Rusia que a buscar dónde está el rey emérito.,Tenemos más periodistas dedicados a desmontar la vacuna de Rusia que a buscar dónde está el rey emérito.,1293895973010317319,"{'username': 'pascual_serrano', 'displayname': 'Pascual Serrano', 'id': 112134350, 'description': 'Periodista (E) Autor de Medios democráticos, La prensa ha muerto: ¡viva la prensa!, Desinformación, Traficantes de información. No converso por aquí', 'rawDescription': 'Periodista (E) Autor de Medios democráticos, La prensa ha muerto: ¡viva la prensa!, Desinformación, Traficantes de información. No converso por aquí', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2010, 2, 7, 10, 41, 28, tzinfo=datetime.timezone.utc), 'followersCount': 41311, 'friendsCount': 1167, 'statusesCount': 21077, 'favouritesCount': 2955, 'listedCount': 948, 'mediaCount': 1052, 'location': '', 'protected': False, 'linkUrl': 'http://www.pascualserrano.net/', 'linkTcourl': 'https://t.co/GJI7W8Rm6C', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1161003176289550338/BHNeseX0_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/112134350/1475851238'}",[],[],8,160,287,2,1293895973010317319,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,,pascual_serrano,3
5,7638,https://twitter.com/Aerolineas_AR/status/1365452770766180355,2021-02-27 00:04:44+00:00,La imagen del día ✈️✈️. Los dos Airbus 330 están listos para despegar y traer al país más dosis de la vacuna Sputnik V y hacerle frente al Covid-19. #AerolíneaDeBandera https://t.co/8EUukE2zSr,La imagen del día ✈️✈️. Los dos Airbus 330 están listos para despegar y traer al país más dosis de la vacuna Sputnik V y hacerle frente al Covid-19. #AerolíneaDeBandera https://t.co/8EUukE2zSr,1365452770766180355,"{'username': 'Aerolineas_AR', 'displayname': 'Aerolíneas Argentinas', 'id': 153900887, 'description': '#ListosParaCuidarte. Conocé información actualizada sobre las medidas sanitarias, de higiene y prevención en cada etapa del vuelo 👉🏼 bit.ly/2M59FDM', 'rawDescription': '#ListosParaCuidarte. Conocé información actualizada sobre las medidas sanitarias, de higiene y prevención en cada etapa del vuelo 👉🏼 https://t.co/E943KP0dlN', 'descriptionUrls': [{'text': 'bit.ly/2M59FDM', 'url': 'http://bit.ly/2M59FDM', 'tcourl': 'https://t.co/E943KP0dlN', 'indices': (133, 156)}], 'verified': True, 'created': datetime.datetime(2010, 6, 9, 20, 56, 4, tzinfo=datetime.timezone.utc), 'followersCount': 427959, 'friendsCount': 35, 'statusesCount': 53577, 'favouritesCount': 12578, 'listedCount': 1179, 'mediaCount': 6275, 'location': 'Buenos Aires - Argentina', 'protected': False, 'linkUrl': 'http://www.aerolineas.com.ar', 'linkTcourl': 'https://t.co/zzyUYB4MfG', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1386670027085123584/I-B_eg3b_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/153900887/1617142009'}",[],[],80,510,2086,51,1365452770766180355,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,"[{'previewUrl': 'https://pbs.twimg.com/media/EvMQDXaXAAYUpZI?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/EvMQDXaXAAYUpZI?format=jpg&name=large', 'type': 'photo'}]",,,,,,Aerolineas_AR,1
6,5214,https://twitter.com/Winston_Dunhill/status/1373344350546096128,2021-03-20 18:43:03+00:00,"Me molesta que le den la hora al indio, imagínate la vacuna.","Me molesta que le den la hora al indio, imagínate la vacuna.",1373344350546096128,"{'username': 'Winston_Dunhill', 'displayname': 'Winston', 'id': 1114590254, 'description': 'Cuenta acusada de troll por Amnistía Internacional, sucursal Peronia 🏅', 'rawDescription': 'Cuenta acusada de troll por Amnistía Internacional, sucursal Peronia 🏅', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2013, 1, 23, 15, 5, 38, tzinfo=datetime.timezone.utc), 'followersCount': 152321, 'friendsCount': 2310, 'statusesCount': 36379, 'favouritesCount': 146484, 'listedCount': 265, 'mediaCount': 11989, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/852922794178379777/1BQZGMyu_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1114590254/1620751797'}",[],[],12,172,936,2,1373344350546096128,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,,Winston_Dunhill,3
7,2804,https://twitter.com/mauroandinoe/status/1379967454823206914,2021-04-08 01:20:54+00:00,"No tenemos gobierno. El recientemente designado Ministro de Salud se va. Vivimos el caos total. No existe orden, ni planificación, mientras nuestros abuelos sufren un oprobioso maltrato para alcanzar la vacuna. Distópico y excecrable ejercicio del poder. @Lenin  inhumano y ruin.","No tenemos gobierno. El recientemente designado Ministro de Salud se va. Vivimos el caos total. No existe orden, ni planificación, mientras nuestros abuelos sufren un oprobioso maltrato para alcanzar la vacuna. Distópico y excecrable ejercicio del poder. @Lenin  inhumano y ruin.",1379967454823206914,"{'username': 'mauroandinoe', 'displayname': 'Mauro Andino Espinoz', 'id': 229882457, 'description': 'Msc. Derecho Electoral-Parlamentario U. Complutense de Madrid / Msc. Gobernabilidad y Gerencia Política PUCE-Q ¡Amo correr, jugar fútbol e hincha loco de LDU!', 'rawDescription': 'Msc. Derecho Electoral-Parlamentario U. Complutense de Madrid / Msc. Gobernabilidad y Gerencia Política PUCE-Q ¡Amo correr, jugar fútbol e hincha loco de LDU!', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2010, 12, 23, 15, 59, 18, tzinfo=datetime.timezone.utc), 'followersCount': 6861, 'friendsCount': 3562, 'statusesCount': 5694, 'favouritesCount': 15137, 'listedCount': 6, 'mediaCount': 190, 'location': 'Riobamba - Ecuador', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1369865922085847047/MiIVSvxC_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/229882457/1572461531'}",[],[],31,430,881,12,1379967454823206914,es,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,"[{'username': 'Lenin', 'displayname': 'Lenín Moreno', 'id': 913131817, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}]",,,mauroandinoe,3
8,17992,https://twitter.com/KittyPelwchy/status/1338610943295516672,2020-12-14 22:24:53+00:00,"Si ya fuera posible aplicarse masivamente la vacuna #Covid19 en México, te vacunarías?

*Si deseas agrega el porqué.

Gracias por participar.
Si gustas dar RT para mayor alcance.","Si ya fuera posible aplicarse masivamente la vacuna #Covid19 en México, te vacunarías?

*Si deseas agrega el porqué.

Gracias por participar.
Si gustas dar RT para mayor alcance.",1338610943295516672,"{'username': 'KittyPelwchy', 'displayname': '🌹Pєlwchy ❤️🇲🇽', 'id': 83081494, 'description': '🏵 Empática en pro de la justicia, intentando ser una activista para un México mejor. Sarcástica, analítica, intuitiva, humanista, animalista🐾 #MéxicoReflexivo', 'rawDescription': '🏵 Empática en pro de la justicia, intentando ser una activista para un México mejor. Sarcástica, analítica, intuitiva, humanista, animalista🐾 #MéxicoReflexivo', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2009, 10, 17, 7, 29, 45, tzinfo=datetime.timezone.utc), 'followersCount': 27852, 'friendsCount': 12539, 'statusesCount': 104120, 'favouritesCount': 111684, 'listedCount': 63, 'mediaCount': 8875, 'location': 'México', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1374075114938073095/NcC3CHty_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/83081494/1620769576'}",[],[],106,197,174,12,1338610943295516672,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,,KittyPelwchy,2
9,4008,https://twitter.com/Claudiashein/status/1377329856640344070,2021-03-31 18:40:02+00:00,"Doña Carmen Sánchez Calderón tiene 105 años y acaba de recibir la vacuna en la macrounidad ubicada en la Alberca Olímpica, alcaldía Benito Juárez. 

Emociona ver la felicidad de quienes se vacunan y de sus familiares.

Juntas y #JuntosVamosASalirAdelante https://t.co/7mxkNcKJRH","Doña Carmen Sánchez Calderón tiene 105 años y acaba de recibir la vacuna en la macrounidad ubicada en la Alberca Olímpica, alcaldía Benito Juárez. 

Emociona ver la felicidad de quienes se vacunan y de sus familiares.

Juntas y #JuntosVamosASalirAdelante https://t.co/7mxkNcKJRH",1377329856640344070,"{'username': 'Claudiashein', 'displayname': 'Claudia Sheinbaum', 'id': 591361197, 'description': 'Jefa de Gobierno de la Ciudad de México 2018-2024', 'rawDescription': 'Jefa de Gobierno de la Ciudad de México 2018-2024', 'descriptionUrls': [], 'verified': True, 'created': datetime.datetime(2012, 5, 26, 21, 48, 47, tzinfo=datetime.timezone.utc), 'followersCount': 1651483, 'friendsCount': 1410, 'statusesCount': 23285, 'favouritesCount': 1041, 'listedCount': 2050, 'mediaCount': 8126, 'location': 'Ciudad de México', 'protected': False, 'linkUrl': 'http://www.cdmx.gob.mx', 'linkTcourl': 'https://t.co/KmcdK3e3Qr', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1279221988918083585/2SfLVjcE_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/591361197/1620968447'}",[],[],60,313,1532,9,1377329856640344070,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,"[{'previewUrl': 'https://pbs.twimg.com/media/Ex1CNBRXEAQWRfe?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/Ex1CNBRXEAQWRfe?format=jpg&name=large', 'type': 'photo'}]",,,,,,Claudiashein,1
